,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
1102,PB3(June-December 2016),S088,"Streets, Sidewalks & Transit",Traffic patterns,Improve road safety  - Inman Square (hampshire/cambridge) - and between one-way streets that feed into Hampshire - visibility to turn onto Hampshire is severely limited. Don't allow parking to the corner at Norfolk and Hampshire in front of church. ,Budget Delegates did not move this idea forward because the City is already in the process of redesigning Inman Square.,Lisa Horvitz,"Inman Square
(42.374695, -71.107964)",42.374695,-71.107964,Traffic patterns
1103,PB3(June-December 2016),S089,"Streets, Sidewalks & Transit",Make Inman Square Intersection Safer! ,"The safety of cyclists, pedestrians, and drivers will be improved if the Inman Square intersection has walk signs like Union Square. Shut down all of the traffic and let pedestrians walk without cars coming from different directions. Add a bike-only traffic light to let cyclists through the intersection more safely. ",Budget Delegates did not move this idea forward because the City is already in the process of redesigning Inman Square.,Nina Burke,"Inman Square
(42.373544, -71.100382)",42.373544,-71.100382,"Intersection,Inman Square"
1104,PB3(June-December 2016),S093,"Streets, Sidewalks & Transit","Name ""Unsafe Inman Square"" to DEADLY INMAN SQUARE","Each and every ignored reference on this site posted in prior weeks and years, and with all other ignored references communicated by other means in prior years and decades, when residents have asked that the ""Dangerous Inman Square"" or ""Unsafe Inman Square"" busy intersection be made safe, change ""Unsafe"" or ""Dangerous"" to DEADLY.  Every request in the record shall be amended to read: DEADLY INMAN SQUARE.   Also, Cambridge city council pensions should now be named the Amanda Phillips City Councilor Pension in recognition of our political leaders listening to the people.",Budget Delegates did not move this idea forward because the City is already in the process of redesigning Inman Square.,Vermin Surpreme,"Inman Square
(42.374178, -71.102584)",42.374178,-71.102584,"Name,Unsafe Inman Square,DEADLY INMAN SQUARE"
1105,PB3(June-December 2016),S094,"Streets, Sidewalks & Transit",Solution for Inman Square,"Make Cambridge street OneWay towards Harv. Sq for several blocks (from Cardinal Medeiros?) to where it crosses Hampshire. Make Hampshire OneWay for several blocks with traffic going towards Boston. This will provide space to: widen sidewalks, make safe bike lanes, more plantings, make the whole intersection simpler and safer and greener. This will help pedestrians, car traffic & bicyclers and can make the whole square nicer and more appealing as a place to go - with wider sidewalks etc",Budget Delegates did not move this idea forward because the City is already in the process of redesigning Inman Square.,sadie,"Inman Square
(42.373459, -71.100128)",42.373459000000004,-71.100128,"Solution,Inman Square"
1106,PB3(June-December 2016),S147,"Streets, Sidewalks & Transit",Safety,"Stop putting corners with jutting out. Dangerous turning, taking up parking spaces, hazardous for snow removal, bikers, poor idea. Add benches on Mass ave. ",To be determined,Mary,"citywide, Mass. Ave.
(42.376657, -71.128601)",42.376657,-71.128601,Safety
1107,PB3(June-December 2016),S098,"Streets, Sidewalks & Transit",Bike lanes and signals at intersection of Cambridge and Inman St.,"This is a dangerous intersection for bikes and pedestrians alike. There is a great deal of vehicular,  foot and bike traffic. Bike lanes, preferably raised off the level of vehicular traffic, and bike signals in this area would improve public safety and encourage commuting by bike.",To be determined,Dara,"Cambridge &amp; Inman Streets
(42.373608, -71.100372)",42.373608000000004,-71.100372,"Bike lanes,signals,intersection,Cambridge,Inman St"
1108,PB3(June-December 2016),S101,"Streets, Sidewalks & Transit",Copenhagen Bike Lanes,We should move the bike lanes on the inside of parked cars like they do in Copenhagen so bikers are protected and car traffic is uninterrupted. Hampshire street is one of the most popular streets for bikers and cars and if we moved the bike lanes it would minimize collisions and traffic. We should do this for all of Cambridge to make the entire city bike-friendly. ,To be determined,DeeDee ,"Hampshire Street, citywide
(42.373436, -71.100426)",42.373436,-71.100426,Copenhagen Bike Lanes
1109,PB3(June-December 2016),S104,"Streets, Sidewalks & Transit",Bike signal,Put a signal here for bikes to go a few seconds ahead of cars. Every day large buses and trucks turn right here and may not be able to see the many commuters beside them - it's a crash waiting to happen.,To be determined,C S,"1 Broadway
(42.362776, -71.085311)",42.362776000000004,-71.085311,Bike signal
1110,PB3(June-December 2016),S109,"Streets, Sidewalks & Transit",Bike signal,Let bikes go a little bit before other traffic at the two intersections here so they can safely travel up to the left when some cars are going right into the tunnel.,To be determined,Someone,"Harvard Bus Tunnel
(42.374732, -71.118809)",42.374732,-71.118809,Bike signal
1111,PB3(June-December 2016),S099,"Streets, Sidewalks & Transit",More bike lanes throughout Cambridge,So bikers feel safer,To be determined,Girls Taking Action,"citywide
(42.79029994800004, -86.10384999999997)",,,"bike lanes,Cambridge"
1112,PB3(June-December 2016),S110,"Streets, Sidewalks & Transit",Watch For Bicycles,"The bike lane on the right side of Mass Ave is helpful, but bikers must sometimes cross over to the left side underground and through a curve if they are planning to continue on Cambridge/Quincy/Kirkland rather than Broadway. Drivers have just come through the congestion and pedestrians in Harvard Square and may be off guard, plus the visibility on an underground curve is terrible, so they are not so aware of bikes here. ",To be determined,gidklio,"Harvard Square/Mass. Ave. tunnel
(42.37445, -71.11548)",42.37445,-71.11548,Bicycles
1113,PB3(June-December 2016),S116,"Streets, Sidewalks & Transit",Biker Lane on Mass Ave between Harvard and Central Square,"Mass Ave heading East (after Mass Ave and Mt. Auburn merge) is treacherous for bikers. I have known multiple people who have been ""doored"". A discrete biker lane would improve public safety - there are many parked cars, it's heavily trafficked, and cars move fairly fast. This all leads to a large potential for injury. Mass Ave is already fairly wide at the spot, so a long bike lane might not necessitate any serious construction on the road. If you want a more fully developed bike lane, mimicking the safe stretch on Western Ave between Putnam and Prospect Street would be very helpful.",To be determined,Max,"Mass. Ave. between Harvard &amp; Central Squares
(42.368734, -71.109571)",42.368734,-71.109571,"Biker Lane,Mass Ave,Harvard,Central Square"
1114,PB3(June-December 2016),S118,"Streets, Sidewalks & Transit",Mass Ave Cycle Track,"Safety for cyclists, pedestrians, and drivers will be improved dramatically by providing protected bike lanes or cycle tracks on Mass Avenue between Harvard Square and the Arlington border. It will encourage more bike commuting, which allows the city to grow in population without increasing care traffic, cut down on greenhouse gas emissions, and just make Cambridge a safer place because kids would be able to ride on Mass Ave too! ",To be determined,NOAH MASLAN,"Mass. Ave. between Harvard Square &amp; Arlington border
(42.392173, -71.124678)",42.392173,-71.124678,Mass Ave Cycle Track
1115,PB3(June-December 2016),S119,"Streets, Sidewalks & Transit",Add Bike Lanes down Mass Ave,This helps bikers safely ride on the street without colliding with cars or pedestrians.,To be determined,Xavier,"Massachusetts Avenue
(42.383072, -71.119122)",42.383072,-71.11912199999999,"Bike Lanes,Mass Ave"
1116,PB3(June-December 2016),S120,"Streets, Sidewalks & Transit",Bike lanes,"Biking Mass Ave up this way, there are buses and fast moving traffic and bike lanes are only there part of the way. Adding bike lanes would make it safer and more pleasant to ride.",To be determined,C S,"Massachusetts Avenue
(42.392853, -71.124916)",42.392853,-71.124916,Bike lanes
1117,PB3(June-December 2016),S122,"Streets, Sidewalks & Transit",Bike Lanes at the BU Bridge Intersection,"The BU bridge intersection is chaotic, with multiple lanes of traffic merging and interacting with cyclists. Adding bike lanes would be a *start* to improving the safety of cyclists and drivers.",To be determined,Sarah,"Memorial Drive &amp; BU Bridge
(42.354354, -71.109902)",42.354354,-71.109902,"Bike Lanes,BU Bridge Intersection"
1118,PB3(June-December 2016),S160,"Streets, Sidewalks & Transit","Bicycle Rack ""Posts""","Reduce the number of bikes locked to street signs, trees, and other less than ideal locations",To be determined,Michael Arnott,"citywide
(42.381667, -71.119874)",42.381667,-71.119874,"Bicycle Rack,Posts"
1119,PB3(June-December 2016),S125,"Streets, Sidewalks & Transit",Clean up Watertown Greenway ,"
Install a bike path and clean up the trash in the ditch
",To be determined,Alex Ferguson,"Mount Auburn Street &amp; Belmont Street
(42.37523, -71.149168)",42.37523,-71.149168,Watertown Greenway
1120,PB3(June-December 2016),S126,"Streets, Sidewalks & Transit",Finish the Watertown-Cambridge Greenway,"It will improve vehicular traffic around Alewife by removing bikes and some commuters who will opt bike instead of drive to Cambridge.  By linking the Minuteman to the Charles River, it will reduce the number of  bikes from streets across all of Cambridge and reduce CO2 and other emissions.  It will also improve foot traffic around Alewife/Rindge Ave area, it will increase access to Doherty Field, and the Fresh Pond area for Recreation.  ",To be determined,Michael Fournier,"Concord Avenue
(42.385956, -71.139008)",42.385956,-71.13900799999999,Watertown-Cambridge Greenway
1121,PB3(June-December 2016),S128,"Streets, Sidewalks & Transit",Bicycle Lanes Only on Oxford Street,"The problem in Cambridge is that despite the modern, urban lifestyle choices which reflect environmental awareness, such as cycling around Harvard Square for shopping (farmers' market, banking, library, etc), the streets have yet to reflect this change as well. With narrow streets, such as Oxford Street, cars, cyclists, and pedestrians co-exist too tightly. Can you imagine what Oxford Street would look like if the roadway for cars was replaced with only bicycle lanes (with sidewalks still in place for pedestrians)? My vision of Cambridge is to create more and more bicycle-only streets. With clear maps for cyclists to follow, there would be less lifestyle tension between cars and bikes. Pedestrians could walk peacefully down the street without having to hear the banter of road rage. With clear signage, cars could be re-routed around Oxford Street via Mass. Ave. or Beacon Streets. Let's start recognizing the imperative lifestyle shift that Cambridge residents need to make: Think green.",To be determined,Jen Lacroix,"Oxford Street
(42.378786, -71.117306)",42.378786,-71.117306,"Bicycle Lanes,Oxford Street"
1122,PB3(June-December 2016),S130,"Streets, Sidewalks & Transit",Add a bike lane on Portland street and Cardinal Medeiros St,"Quite a bit of bike traffic on that road, for bikers going from Main to Cambridge Street. Drivers get impatient and buzz cyclists. Improve safety by adding a bike lane.",To be determined,Bob,"Portland &amp; Cardinal Medeiros
(42.367897, -71.090324)",42.367897,-71.090324,"bike lane,Portland street,Cardinal,Medeiros St"
1123,PB3(June-December 2016),S131,"Streets, Sidewalks & Transit",Counterflow bike lane for 100 feet of one-way Quincy,"Quincy switching from two-ways to one-way at Broadway is good for overall traffic flow, but bad for bikes. There should be a counterflow bike lane for this hundred feet to go along with the nice wide bike lane going south on Quincy adjacent to the Yard.",To be determined,gidklio,"Quincy &amp; Broadway
(42.375305, -71.114667)",42.375305,-71.114667,"Counterflow,bike lane,Quincy"
1124,PB3(June-December 2016),S132,"Streets, Sidewalks & Transit",Making one-way streets accessible to bikes from both sides,With increasing traffic many streets have been turned into one ways making routes and travel time longer for bikers.  Making some of the one-ways streets two-way for bikes will encourage more people to bike and help the traffic and the enviornment in Cambridge.,To be determined,Arif Hussain,"Quincy Street, citywide
(42.37351, -71.115288)",42.373509999999996,-71.115288,"streets,sides,bikes"
1125,PB3(June-December 2016),S143,"Streets, Sidewalks & Transit",Bumper Stickers for Bike Safety,"With each resident and visitor parking permit sent out next year, include a free bumper sticker that helps drivers advertise how they drive safely for bikes in Cambridge:
- Check right turns
- Check doors
- Respect bike lanes",To be determined,Alex Bell,"citywide
(42.37384, -71.102211)",42.37384,-71.102211,"Bumper Stickers,Bike Safety"
1126,PB3(June-December 2016),S144,"Streets, Sidewalks & Transit",Watch for Bicycles Stickers for Door Handles in Cars,Many people open their car door without thinking to check for bicycles. Nice and bright removable stickers that you can place on car door handles might help remind folks to look first and maybe prevent someone on a bicycle from being doored. ,To be determined,Sarah Block,"citywide
(42.372923, -71.106315)",42.372923,-71.10631500000001,"Door,Bicycles Stickers,Cars,Handles"
1127,PB3(June-December 2016),S145,"Streets, Sidewalks & Transit",Reminders for drivers & cyclists on the street,"I mean painted on the bike lanes and auto stop lines. The little things people forget... For cyclists "" Same Road Same Rules...Everyone Must Stop At Red Lights & Stp Signs""  For drivers: ""Same Road Same Rules"" ""Watch for Bikes"" etc. As both a driver and cyclist in Cambridge, I see so many unsafe violations by both.  Regular reminders en route could help with lowering the cyclist/driver accidents. ",To be determined,Michelle Goldberg,"citywide
(42.369881, -71.096069)",42.369881,-71.096069,"Reminders,drivers,cyclists,street"
1128,PB3(June-December 2016),S149,"Streets, Sidewalks & Transit",Bicycle Safety Education,"Provide bike riding safety/rules education to 4th and 5th graders in all schools (ongoing). Also this projects can be an ongoing one through public housing; neighborhood groups. Police Dept. need to enforce rules of public safety like lights, wrong direction.",To be determined,Trudy,"citywide
(42.374677, -71.106697)",42.374677,-71.106697,Bicycle Safety Education
1129,PB3(June-December 2016),S150,"Streets, Sidewalks & Transit",Bike Helmets for Cambridge Kids,There are so many children riding around the city without bicycle helmets. It would be wonderful if the City could provide free helmets to children that don't have one. Studies have shown the importance of wearing a bike helmet when riding a bike to prevent injury to their developing brains.,To be determined,Teresa Walker,"citywide
(42.390091, -71.127752)",42.390091,-71.127752,"Bike Helmets,Cambridge Kids"
1130,PB3(June-December 2016),S151,"Streets, Sidewalks & Transit",Free Bike and Helmet Renting,"If there was a chance to rent bikes for free, people would be more likely to use bikes than to drive cars, helping the environment. If helmets are included with the bikes, people would be more likely to wear them. You could take bikes out for an allotted amount of time, then put them back into a station (like free Hub way). The bikes could come with reflectors for people who ride them at night. ",To be determined,Ruri Duffy,"citywide
(42.381509, -71.145526)",42.381509,-71.145526,"Bike,Helmet,Renting"
1131,PB3(June-December 2016),S152,"Streets, Sidewalks & Transit",Secured Biking Shelter,Bicycle theft is unfortunately an issue. There needs to be a secure biking shelter that is outfitted w/ alarms/technology to keep bikes secure. This would deter bike theft because it would cause an alarm to sound if there is an attempt to steal it. This could be located in Central Square & it would be much appreciated!,To be determined,Pablo,"Central Square, citywide
(42.367115, -71.105628)",42.367115000000005,-71.105628,Biking Shelter
1132,PB3(June-December 2016),S153,"Streets, Sidewalks & Transit",Secure Bike garage/lot in Harvard and Central  Square.,"Many is the time I'd like to bike to the T and leave my bike for the day, but though Cambridge is safe in many ways, my bike does feel vulnerable.  I think secure bike parking lot/garage would increase use of bikes in our fair city, and possibly use of public transportation.",To be determined,Geri Belle,"Harvard Square &amp; Central Square
(42.38409, -71.119014)",42.38409,-71.119014,"Bike,garage,lot,Harvard,Central Square"
1133,PB3(June-December 2016),S155,"Streets, Sidewalks & Transit",More bicycle parking at 1050 Mass Ave,The existing bike stands at this location are always full. More can be added nearby.,To be determined,Alex Aminoff,"1050 Mass. Ave.
(42.37027, -71.112999)",42.37027,-71.112999,"bicycle parking,1050 Mass Ave"
1134,PB3(June-December 2016),S156,"Streets, Sidewalks & Transit",More bike parking at the Main Library,"My proposal is to fund bicycle parking at the Cambridge Public Library directly in front of the library windows along Broadway for high visibility.  The library has very few bicycle parking stands and bikes must be fastened to the park benches and anything else that is fixed in place. Many library patrons cycle to the library and are frustrated by how few parking stands there presently are. My proposal would include bicycle parking stands and landscaping to emphasize a secure bicycle parking area large enough to accommodate more than the 12+ bikes, positioned directly in front of the library to guarantee high visibility. ",To be determined,Jeanne C.,"Main Library, 449 Broadway
(42.373074, -71.10991)",42.373074,-71.10991,"bike parking,Main Library"
1135,PB3(June-December 2016),S157,"Streets, Sidewalks & Transit",More bike parking outside Cambridge main library,"Bikers will have more space to park their bikes hasslefree, Right now it is a pain and all the benches around have bikes locked to them. Seems cluttered and disorganized. It will further bolster the image of Cambridge as a bike friendly city",To be determined,Arif Hussain,"Main Library, 449 Broadway
(42.374007, -71.110537)",42.374007,-71.110537,"bike parking,library,Cambridge"
1136,PB3(June-December 2016),S159,"Streets, Sidewalks & Transit",Add Bike Parking throughout Cambridge,"Several areas of the city don't have bike parking which means cyclists resort to street signs, gates, and trees. This recommendation is for mid-Cambridge specifically, but also city-wide as adding bike parking could help alleviate this throughout Cambridge, particularly in areas where the sidewalk is narrower and accessibility is important.",To be determined,Noemie Sportiche,"Mid Cambridge, citywide
(42.37184, -71.107397)",42.37184,-71.10739699999999,"Bike Parking,Cambridge"
1137,PB3(June-December 2016),S163,"Streets, Sidewalks & Transit",Free Hubway,Free bike system for residents,To be determined,anonymous,"citywide
(42.375633, -71.118747)",42.375633,-71.118747,Hubway
1138,PB3(June-December 2016),S164,"Streets, Sidewalks & Transit",A Few Public ZipCars and Zip Vans,Would provide low income residents with an ability to access shared transportation when public transportation is not readily available.,To be determined,Lori Lander (and others),"Cambridge Street, citywide
(42.372799, -71.09308)",42.372799,-71.09308,"ZipCars,Zip Vans"
1139,PB3(June-December 2016),S165,"Streets, Sidewalks & Transit",Alternative payment for parking meters,Having just received a parking ticket for leaving my car parked without paying the meter (I left for just a few minutes to make change at the nearest shop) I would suggest investing in a metered parking solution that allows credit card payments! At least in Harvard Square. ,To be determined,Aaron,"Harvard Square
(42.374512, -71.120032)",42.374512,-71.120032,"payment,parking meters"
1140,PB3(June-December 2016),S166,"Streets, Sidewalks & Transit",Mobile app payment for parking meters,"This would benefit anyone driving in the city and wanting to park in metered spots, but lacking correct coins or amount of coins. Savings in maintenance since meters are replaced by numbered signs. For those without the ability to pay by phone could use a dispenser located within short walking distance.",To be determined,Tim Kardatzke,"citywide
(42.375633, -71.118747)",42.375633,-71.118747,"Mobile app payment,parking meters"
1141,PB3(June-December 2016),S168,"Streets, Sidewalks & Transit",Fire Hydrant Visibility,"Through the installation of tall reflective poles on fire hydrants, residents (and firemen and women) will be able to locate the hydrants quickly. It will make it easier NOT to inadvertently park your car in front of hydrants.",To be determined,Teresa Walker,"citywide
(42.366933, -71.105824)",42.366933,-71.105824,Fire Hydrant Visibility
1142,PB3(June-December 2016),S170,"Streets, Sidewalks & Transit",Sennott Park + Area 4 Parking Lot = Opportunity to Improve Neighborhood ,"The small Area 4 Parking lot on Harvard St. abutting St. Bart's Church & Sennott Park functions as off-street parking AND as a gateway to the park. It hosts far more foot traffic than cars -- Prospect Hill Academy students cross the lot daily during the school year to use the park for phys ed activities. Often, people walk through the space with little attention to moving cars. Let's redesign it as a safe, inviting park entrance with a more functional parking layout. This can be accomplished by resurfacing the lot, re-drawing parking spaces, creating attractive & low maintenance landscaping, designing a painted pathway to guide pedestrians through the space, adding well-designed signage, lighting and other physical signals that help integrate the spaces. The project can also engage diverse community members in the design (neighbors, youth at Prospect Hill Academy and the Bob & Janet Moses Youth Center, St. Bart's congregants, etc). ",To be determined,Risa Mednick,"Sennott Park &amp; Harvard Street
(42.368472, -71.100003)",42.368472,-71.100003,"Sennott Park,Parking Lot,Area 4,Neighborhood,Opportunity"
1143,PB3(June-December 2016),S183,"Streets, Sidewalks & Transit",Noiseless,Prohibit big trucks or limit to 2 hrs in early AM or late PM,Not eligible: Not a capital project.,Sharon,"Cambridge Street, citywide
(42.373325, -71.104181)",42.373325,-71.10418100000001,Noiseless
1144,PB3(June-December 2016),S172,"Streets, Sidewalks & Transit",Make Gardner Street one way,"Gardner is so narrow that the fact that it is a two way, in addition to there being parking spaces on the street, is ridiculous. It is hazardous to say the least. It creates unnecessary risk of vehicles colliding or people getting in fights because someone coming out of Gardner wants those turning in from Prospect st to back up on to Prospect. Now, surely no one thinks backing up on to Prospect is wise!",To be determined,VG,"Gardner Street
(42.370758, -71.099922)",42.370758,-71.09992199999999,"Gardner Street,way"
1145,PB3(June-December 2016),S174,"Streets, Sidewalks & Transit","Safety and Connections among Neighborhoods, for walk, bike, bus","As a daily reminder to all drivers entering Cambridge, could a speed table be installed at each significant s (about 14)?   Sign: suggested 25 MPH THROUGHOUT Cambridge, WATCH out for children, walking and biking, and GIVE WAY to buses and vans especially during rush hours. Entering Cambridge (and Boston, Watertown, Belmont, Arlington, or Somerville)",To be determined,Arthur Strang,"citywide
(42.38168, -71.156171)",42.381679999999996,-71.156171,"Safety,Connections,Neighborhoods,walk,bus,bike"
1146,PB3(June-December 2016),S178,"Streets, Sidewalks & Transit",Re-sign the Intersection of Mass Ave and Prospect/River/Western,"The intersection of Mass Ave with Prospect Street and River St/Western Ave is a hodgepodge of signs, seemingly added over time, without much thought about how to convey information. Besides being confusing, the fact that the No Left Turns signs are located towards the right of the street where they can go unnoticed adds to the safety issues with that intersection. The Traffic Department should take a fresh look at the intersection and develop a cohesive signing strategy that conveys directions clearly.",To be determined,,"Mass Ave, Prospect &amp; River St/Western Ave
(42.365424, -71.103753)",42.365424,-71.103753,"Intersection of Mass Ave,Western,Prospect/River"
1147,PB3(June-December 2016),S179,"Streets, Sidewalks & Transit",Fixing the intersection,"There are so many lanes going in an out of this intersection. Its dangerous to cross and a major obstacle for neighborhood accessibility. Its hard to imagine how best to redesign this intersection because of all the traffic it gets, but i think we could close the third lane that begins right before the intersection from the west mt auburn st to provide a larger sidewalk with repainted crosswalk. I would also close the end of coolidge hill rd because cars turning from this busy parkway into their driveway is a major hazard. it would help walk-able accessibility if the two sides of fresh pond traffic were closer together rather than divided by dangerous inaccessible islands. ",To be determined,,"Mt. Auburn &amp; Fresh Pond Parkway
(42.374312, -71.136875)",42.374311999999996,-71.136875,intersection
1148,PB3(June-December 2016),S184,"Streets, Sidewalks & Transit",Construction alert website,"The information online about construction projects in the city (when they are happening, how long they will be going on, whether or not there is emergency or pre-planned work that will shut down a road) is really difficult to engage with and not that helpful. It would be nice to have a construction alert system in which you could enter your address or select a number of streets you use for your commute and get a daily/weekly/whatever email or text message for all those streets or for your neighborhood.",To be determined,Gabe Schwartz,"Concord Ave, citywide
(42.383587, -71.133834)",42.383587,-71.133834,Construction alert website
1149,PB3(June-December 2016),S185,"Streets, Sidewalks & Transit",Construction,less  STUPID constructions,Not eligible: Not a capital project.,Nyzharee Winbush,"citywide
(42.374657, -71.130798)",42.374657,-71.130798,Construction
1150,PB3(June-December 2016),S186,"Streets, Sidewalks & Transit",Fix potholes,"Pot holes on Oxford throw bikes off course - so bikes slow down, which is frustrating to cars that can't get around them","Budget Delegates did not move this idea forward, because pothole repair is part of Public Works' operating budget and responsibilities.",C S,"Oxford Street
(42.379981, -71.11685)",42.379981,-71.11685,potholes
1151,PB3(June-December 2016),S187,"Streets, Sidewalks & Transit",Street repair,Raymond St.-There are a lot of holes.,"Budget Delegates did not move this idea forward, because pothole repair is part of Public Works' operating budget and responsibilities.",Magalie,"Raymond Street
(42.386528, -71.12779)",42.386528000000006,-71.12779,Street repair
1152,PB3(June-December 2016),S189,"Streets, Sidewalks & Transit",Speed Bump,Speed Bump on Montague near basketball court,To be determined,Rennex,"Montague Street
(42.364097, -71.113027)",42.364096999999994,-71.113027,Speed Bump
1153,PB3(June-December 2016),Y001,Youth Education & Technology,Leverage these funds to get a fibre optic network such as FIOS,"Benefits everyone.  In this age of connectivity, all of us are forced to support an essential monopoly of a cable network which is slow.  The city recognises the importance of exchange of ideas using the www (as I fill this form) yet we are reliant on an old fashioned transmission system.  We all recognise that this cannot continue and a fibre optic network will come, so why the delay?","Budget Delegates did not move this idea forward because it falls outside the scope of PB (City does not provide FIOS and similar services). The City's Broadband Task Force is exploring options to increase competition, reduce pricing, and improve speed, reliability, and customer service for both residents and businesses.",Deepak Singh,"citywide
(42.375407, -71.122799)",42.375407,-71.122799,"funds,fibre optic network,FIOS"
1154,PB3(June-December 2016),Y033,Youth Education & Technology,Better school food,make better school food.,Not eligible: not a capital project.,Nyzharee Winbush,"Tobin School, 197 Vassal Lane
(42.383356, -71.137308)",42.383356,-71.13730799999999,school food
1155,PB3(June-December 2016),Y004,Youth Education & Technology,City-wide smart spots,"I think our city should add more spots around town that can serve multiple functions. Similar to the idea in New York City replacing pay phones with wifi hotspots.  Besides just acting as a wifi hotspot, each structure could also have a tablet embedded to provide helpful information like maps, points of interest, local businesses, etc. They could also use solar power to function with the addition of serving as a charging port for phones.  These spots could help tourism, promote local attractions/history, and local businesses. They could also be built by a local business to provide further economic stimulus.","Budget Delegates submitted a proposal to add wifi hotspots around the city to City staff. It was deemed feasible to ""light up"" the soofa benches around the city (turn them into hotspots), but doing so would come from the operating budget (not a capital project), so this idea did not make it to the ballot. ",Alex Meyer,"citywide
(42.371211, -71.115769)",42.371210999999995,-71.115769,spots
1156,PB3(June-December 2016),Y006,Youth Education & Technology,Free wi fi,"I believe Cambridge has already toyed with the idea of free wifi. It would save money for households, cafes, businesses, etc. And it would be wonderful to count on wifi access everywhere in Cambridge.","Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi. ",Gordon Fellman,"citywide
(42.371028, -71.133266)",42.371028,-71.133266,wi fi
1157,PB3(June-December 2016),Y006,Youth Education & Technology,Free wi fi,"I believe Cambridge has already toyed with the idea of free wifi. It would save money for households, cafes, businesses, etc. And it would be wonderful to count on wifi access everywhere in Cambridge.","Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi. ",Gordon Fellman,"citywide
(42.371028, -71.133266)",42.371028,-71.133266,wi fi
1158,PB3(June-December 2016),Y008,Youth Education & Technology,"Free wifi in all Cambridge low income, senior and disabled housing","Access to wifi is increasingly important for education, jobs and participation in community life. Low income residents of Cambridge face many barriers to moving out of poverty - access to wifi does not need to be one of them.","Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi.",Lori Lander (and others),"citywide
(42.392446, -71.135038)",42.392446,-71.135038,"wifi,income,Cambridge,housing"
1159,PB3(June-December 2016),Y010,Youth Education & Technology,High speed internet thruout the city,"realizing this has been suggested numerous times, i'd like to add the idea here. for those of us lacking internet connectivity, or suffering years of painfully slow connection, let's overcome the resistance of corporate internet service providers and fund wide spread, broad band, fast internet to all the city's citizens.","Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi.",skip schiel,"citywide
(42.374015, -71.118911)",42.374015,-71.118911,"internet,city"
1160,PB3(June-December 2016),Y011,Youth Education & Technology,Internet for all!!!,complete connectivity for EVERYone@the city@all times!,"Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi.",??,"citywide
(42.36421, -71.103458)",42.36421,-71.10345799999999,"Internet,all"
1161,PB3(June-December 2016),Y012,Youth Education & Technology,More Free Wifi,There are many residents without adequate access to wifi.  Internet connection is increasingly necessary for conducting the most common kinds of business and education.  More areas where wifi is available would be a benefit to many citizens of the city.,"Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi.",Ann Haycox,"citywide
(42.36944, -71.107851)",42.369440000000004,-71.107851,Wifi
1162,PB3(June-December 2016),Y013,Youth Education & Technology,Wi-fi for the city of Cambridge,"The connection to the wifi can and does benefit thousands of residents (in education, information, entertainment, etc.) too many benefits to list.","Budget Delegates did not move this idea forward. It is feasible but too expensive to do citywide, and the City already plans to expand free public wifi.",Ramon,"citywide
(42.375361, -71.105679)",42.375361,-71.10567900000001,"Wi-fi,city,Cambridge"
1163,PB3(June-December 2016),Y016,Youth Education & Technology,More charging stations,more charging stations,Budget Delegates did not rank this as a high priority project because several Soofa benches around the city already provide this service.,anonymous,"Peabody Street
(42.375643, -71.117915)",42.375643,-71.117915,charging stations
1164,PB3(June-December 2016),Y017,Youth Education & Technology,Solar Chargers for Cell Phones,"The City would purchase a  stockpile of solar chargers for cell phones, to be made widely available in the event of a Hurricane Sandy-type emergency in which power was out for an extended period. In such an emergency cell phones are a vital resource for communication, access to information, and public safety. This idea would help to implement preparedness planning emerging from the City's vulnerability study. The solar chargers could be made available at libraries, other public buildings, places of worship, community centers, and places of  business that remain open.",Budget Delegates did not rank this as a high priority project because several Soofa benches around the city already provide this service.,Steve Wineman,"citywide
(42.374007, -71.110537)",42.374007,-71.110537,"Solar Chargers,Cell Phones"
1165,PB3(June-December 2016),Y018,Youth Education & Technology,20 computers for Jefferson Park,I think is very important and everybody use and learn a lot the thing. Our school need more the computers. ,"Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",Paironai ,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,"computers,Jefferson Park"
1166,PB3(June-December 2016),Y019,Youth Education & Technology,Computers for Jefferson Park,"My idea is that twenty computers can help the students in Cambridge. The people use computers to practice English, to look for jobs. I need new computer.","Budget Delegates ranked this as a high priority proposal, but it did not move forward because Jefferson Park is not City property (part of Cambridge Housing Authority).",Exilhomme,"Jefferson Park, 266B Rindge Avenue
(42.393641, -71.13605)",42.393640999999995,-71.13605,"Computers,Jefferson Park"
